Order ID,Order Status,SKU ID,Seller SKU,Product Name,Variation,Quantity,SKU Subtotal Before Discount,SKU Platform Discount,SKU Seller Discount,SKU Subtotal After Discount,Shipping Fee After Discount,Order Amount,Created Time,Paid Time,Tracking ID,Payment Method,Buyer Username
TIKTOK-GOLD-01,จัดส่งแล้ว,V01A,SML-001,สินค้า 01,A,1,200,17,0,183,0,373.17,14/08/2026 09:00:00,14/08/2026 09:01:00,TRACK01,COD,test-user
TIKTOK-GOLD-01,จัดส่งแล้ว,V01B,SML-002,สินค้า 01,B,1,200,17,0,183,0,373.17,14/08/2026 09:00:00,14/08/2026 09:01:00,TRACK01,COD,test-user
TIKTOK-GOLD-02,จัดส่งแล้ว,V02A,SML-003,สินค้า 02,A,1,200,17,0,183,0,373.17,14/08/2026 09:02:00,14/08/2026 09:03:00,TRACK02,COD,test-user
TIKTOK-GOLD-02,จัดส่งแล้ว,V02B,SML-004,สินค้า 02,B,1,200,17,0,183,0,373.17,14/08/2026 09:02:00,14/08/2026 09:03:00,TRACK02,COD,test-user
TIKTOK-GOLD-03,จัดส่งแล้ว,V03A,SML-005,สินค้า 03,A,1,200,17,0,183,0,366,14/08/2026 09:04:00,14/08/2026 09:05:00,TRACK03,COD,test-user
TIKTOK-GOLD-03,จัดส่งแล้ว,V03B,SML-006,สินค้า 03,B,1,200,17,0,183,0,366,14/08/2026 09:04:00,14/08/2026 09:05:00,TRACK03,COD,test-user
TIKTOK-GOLD-04,จัดส่งแล้ว,V04A,SML-007,สินค้า 04,A,1,200,17,0,183,0,366,14/08/2026 09:06:00,14/08/2026 09:07:00,TRACK04,COD,test-user
TIKTOK-GOLD-04,จัดส่งแล้ว,V04B,SML-008,สินค้า 04,B,1,200,17,0,183,0,366,14/08/2026 09:06:00,14/08/2026 09:07:00,TRACK04,COD,test-user
TIKTOK-GOLD-05,จัดส่งแล้ว,V05,SML-009,สินค้า 05,Default,1,200,17,0,183,0,183,14/08/2026 09:08:00,14/08/2026 09:09:00,TRACK05,COD,test-user
TIKTOK-GOLD-06,จัดส่งแล้ว,V06,SML-010,สินค้า 06,Default,1,200,17,0,183,0,183,14/08/2026 09:10:00,14/08/2026 09:11:00,TRACK06,COD,test-user
TIKTOK-GOLD-07,จัดส่งแล้ว,V07,SML-011,สินค้า 07,Default,1,200,17,0,183,0,183,14/08/2026 09:12:00,14/08/2026 09:13:00,TRACK07,COD,test-user
TIKTOK-GOLD-08,จัดส่งแล้ว,V08,SML-012,สินค้า 08,Default,1,200,17,0,183,0,183,14/08/2026 09:14:00,14/08/2026 09:15:00,TRACK08,COD,test-user
TIKTOK-GOLD-09,จัดส่งแล้ว,V09,SML-013,สินค้า 09,Default,1,200,17,0,183,0,183,14/08/2026 09:16:00,14/08/2026 09:17:00,TRACK09,COD,test-user
TIKTOK-GOLD-10,จัดส่งแล้ว,V10,SML-014,สินค้า 10,Default,1,200,17,0,183,0,183,14/08/2026 09:18:00,14/08/2026 09:19:00,TRACK10,COD,test-user
TIKTOK-GOLD-11,จัดส่งแล้ว,V11,SML-015,สินค้า 11,Default,1,200,17,0,183,0,183,14/08/2026 09:20:00,14/08/2026 09:21:00,TRACK11,COD,test-user
TIKTOK-GOLD-12,จัดส่งแล้ว,V12,SML-016,สินค้า 12,Default,1,200,17,0,183,0,183,14/08/2026 09:22:00,14/08/2026 09:23:00,TRACK12,COD,test-user
TIKTOK-GOLD-13,จัดส่งแล้ว,V13,SML-017,สินค้า 13,Default,1,200,17,0,183,0,183,14/08/2026 09:24:00,14/08/2026 09:25:00,TRACK13,COD,test-user
TIKTOK-GOLD-14,จัดส่งแล้ว,V14,SML-018,สินค้า 14,Default,1,200,17,0,183,0,183,14/08/2026 09:26:00,14/08/2026 09:27:00,TRACK14,COD,test-user
TIKTOK-GOLD-15,จัดส่งแล้ว,V15,SML-019,สินค้า 15,Default,1,200,17,0,183,0,183,14/08/2026 09:28:00,14/08/2026 09:29:00,TRACK15,COD,test-user
TIKTOK-GOLD-16,จัดส่งแล้ว,V16,SML-020,สินค้า 16,Default,1,200,17,0,183,0,183,14/08/2026 09:30:00,14/08/2026 09:31:00,TRACK16,COD,test-user
TIKTOK-GOLD-17,จัดส่งแล้ว,V17,SML-021,สินค้า 17,Default,1,200,17,0,183,0,183,14/08/2026 09:32:00,14/08/2026 09:33:00,TRACK17,COD,test-user
TIKTOK-GOLD-18,จัดส่งแล้ว,V18,SML-022,สินค้า 18,Default,1,200,17,0,183,0,183,14/08/2026 09:34:00,14/08/2026 09:35:00,TRACK18,COD,test-user
TIKTOK-GOLD-19,เสร็จสมบูรณ์,V19,SML-023,สินค้า 19,Default,1,200,17,0,183,0,183,14/08/2026 09:36:00,14/08/2026 09:37:00,TRACK19,COD,test-user
TIKTOK-GOLD-20,เสร็จสมบูรณ์,V20,SML-024,สินค้า 20,Default,1,390,30,0,360,0,360,14/08/2026 09:38:00,14/08/2026 09:39:00,TRACK20,COD,test-user
TIKTOK-CANCELED,ยกเลิกแล้ว,V21,SML-025,ยกเลิก,Default,1,100,0,0,100,0,100,14/08/2026 09:40:00,,TRACK21,COD,test-user
